FECHA,VALOR
1/8/1978,0
2/8/1978,0
3/8/1978,0
4/8/1978,0
5/8/1978,0
6/8/1978,0
7/8/1978,3
8/8/1978,0
9/8/1978,0
10/8/1978,0
11/8/1978,0
12/8/1978,0
13/08/1978,0
14/08/1978,2
15/08/1978,0
16/08/1978,0
17/08/1978,0
18/08/1978,0
19/08/1978,0
20/08/1978,0
21/08/1978,0
22/08/1978,0
23/08/1978,1
24/08/1978,0
25/08/1978,0
26/08/1978,0
27/08/1978,0
28/08/1978,0
29/08/1978,0
30/08/1978,0
31/08/1978,0
1/9/1978,0
2/9/1978,2
3/9/1978,0
4/9/1978,6
5/9/1978,0
6/9/1978,0
7/9/1978,0
8/9/1978,2
9/9/1978,7
10/9/1978,0
11/9/1978,0
12/9/1978,1
13/09/1978,0
14/09/1978,0
15/09/1978,1
16/09/1978,5
17/09/1978,0
18/09/1978,0
19/09/1978,0
20/09/1978,2
21/09/1978,12
22/09/1978,6
23/09/1978,0
24/09/1978,0
25/09/1978,0
26/09/1978,1
27/09/1978,0
28/09/1978,2
29/09/1978,8
30/09/1978,0
1/10/1978,0
2/10/1978,0
3/10/1978,0
4/10/1978,0
5/10/1978,0
6/10/1978,0
7/10/1978,0
8/10/1978,0
9/10/1978,6
10/10/1978,6
11/10/1978,0
12/10/1978,0
13/10/1978,0
14/10/1978,0
15/10/1978,0
16/10/1978,0
17/10/1978,0
18/10/1978,0
19/10/1978,0
20/10/1978,0
21/10/1978,0
22/10/1978,6
23/10/1978,0
24/10/1978,2
25/10/1978,3
26/10/1978,9
27/10/1978,3
28/10/1978,12
29/10/1978,2
30/10/1978,1
31/10/1978,6
1/11/1978,0
2/11/1978,11
3/11/1978,0
4/11/1978,0
5/11/1978,0
6/11/1978,0
7/11/1978,2
8/11/1978,0
9/11/1978,0
10/11/1978,0
11/11/1978,0
12/11/1978,1
13/11/1978,0
14/11/1978,0
15/11/1978,2
16/11/1978,4
17/11/1978,3
18/11/1978,7
19/11/1978,7
20/11/1978,0
21/11/1978,0
22/11/1978,0
23/11/1978,2
24/11/1978,4
25/11/1978,2
26/11/1978,9
27/11/1978,0
28/11/1978,2
29/11/1978,0
30/11/1978,1
1/12/1978,0
2/12/1978,0
3/12/1978,0
4/12/1978,0
5/12/1978,0
6/12/1978,11
7/12/1978,0
8/12/1978,0
9/12/1978,0
10/12/1978,0
11/12/1978,0
12/12/1978,1
13/12/1978,0
14/12/1978,0
15/12/1978,0
16/12/1978,0
17/12/1978,16
18/12/1978,2
19/12/1978,1
20/12/1978,0
21/12/1978,0
22/12/1978,4
23/12/1978,3
24/12/1978,2
25/12/1978,4
26/12/1978,10
27/12/1978,2
28/12/1978,0
29/12/1978,0
30/12/1978,4
31/12/1978,0
1/1/1979,0
2/1/1979,0
3/1/1979,5
4/1/1979,3
5/1/1979,0
6/1/1979,0
7/1/1979,0
8/1/1979,0
9/1/1979,0
10/1/1979,0
11/1/1979,0
12/1/1979,0
13/01/1979,2
14/01/1979,2
15/01/1979,0
16/01/1979,2
17/01/1979,0
18/01/1979,0
19/01/1979,1
20/01/1979,0
21/01/1979,5
22/01/1979,3
23/01/1979,14
24/01/1979,2
25/01/1979,0
26/01/1979,0
27/01/1979,0
28/01/1979,0
29/01/1979,0
30/01/1979,2
31/01/1979,0
1/2/1979,3
2/2/1979,4
3/2/1979,13
4/2/1979,4
5/2/1979,6
6/2/1979,11
7/2/1979,15
8/2/1979,0
9/2/1979,6
10/2/1979,10
11/2/1979,3
12/2/1979,12
13/02/1979,0
14/02/1979,3
15/02/1979,1
16/02/1979,5
17/02/1979,5
18/02/1979,25
19/02/1979,4
20/02/1979,0
21/02/1979,8
22/02/1979,9
23/02/1979,0
24/02/1979,0
25/02/1979,0
26/02/1979,0
27/02/1979,16
28/02/1979,5
1/3/1979,6
2/3/1979,17
3/3/1979,0
4/3/1979,17
5/3/1979,4
6/3/1979,2
7/3/1979,4
8/3/1979,5
9/3/1979,0
10/3/1979,4
11/3/1979,4
12/3/1979,2
13/03/1979,2
14/03/1979,0
15/03/1979,3
16/03/1979,2
17/03/1979,5
18/03/1979,19
19/03/1979,2
20/03/1979,15
21/03/1979,8
22/03/1979,1
23/03/1979,0
24/03/1979,9
25/03/1979,1
26/03/1979,0
27/03/1979,2
28/03/1979,0
29/03/1979,5
30/03/1979,0
31/03/1979,2
1/4/1979,0
2/4/1979,3
3/4/1979,2
4/4/1979,6
5/4/1979,1
6/4/1979,25
7/4/1979,0
8/4/1979,2
9/4/1979,0
10/4/1979,0
11/4/1979,0
12/4/1979,1
13/04/1979,0
14/04/1979,2
15/04/1979,5
16/04/1979,4
17/04/1979,2
18/04/1979,0
19/04/1979,0
20/04/1979,0
21/04/1979,0
